date,received,sent,allDayReceived,allDaySent
 2016-5-13,24,50,0-0-0-0-0-0-0-0-4-0-0-4-0-10-0-0-2-4-0-0-0-0-0,14-0-0-0-0-0-0-0-4-2-12-12-0-0-0-0-0-0-0-0-0-0-0
 2016-5-14,182,194,0-0-0-0-0-0-0-0-0-2-0-2-12-46-6-0-0-0-16-24-60-6-0,0-0-0-0-0-0-0-0-0-6-4-0-34-28-12-0-0-2-16-18-62-0-0
 2016-5-15,78,106,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-50-24-0-0-0-0-4-0,0-0-0-0-0-0-0-0-0-0-0-0-0-4-6-46-12-18-16-0-2-0-0
 2016-5-16,64,82,0-0-0-0-0-0-0-0-0-2-0-0-0-0-2-0-6-0-26-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-2-0-20-0-0-0-0
 2016-5-17,62,80,0-0-0-0-0-0-0-0-0-0-0-4-0-0-2-0-0-0-0-14-12-30-0,0-0-0-0-0-0-0-0-0-0-0-0-4-0-0-0-2-0-0-32-10-32-0
 2016-5-18,162,132,0-0-0-0-0-0-0-0-0-0-12-0-4-0-0-0-16-0-76-12-2-40-0,0-0-0-0-0-0-0-0-0-0-22-2-0-0-0-0-12-0-62-6-4-24-0
 2016-5-19,150,186,0-0-0-0-0-0-0-0-2-0-0-0-0-0-4-4-0-80-30-0-0-30-0,2-0-0-0-0-0-0-0-4-0-46-2-0-0-0-0-6-64-26-0-0-30-0
 2016-5-20,58,172,0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-2-54-0-0-0,0-0-0-0-0-0-0-0-0-0-0-6-0-2-0-4-4-8-10-66-46-2-0
 2016-5-21,78,158,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-20-50-0-0-0-0-0,4-2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-36-72-4-0-0-0-0
 2016-5-22,98,122,4-0-0-0-4-0-0-0-0-0-6-0-18-14-4-6-14-14-0-0-0-0-0,14-0-0-0-0-0-0-0-0-0-0-0-20-14-14-4-10-24-0-0-0-0-0
 2016-5-23,146,206,8-0-0-0-0-0-0-0-0-0-6-0-22-0-24-0-0-0-28-0-16-38-0,4-0-0-0-0-0-0-0-0-0-0-0-24-0-40-0-0-0-40-0-20-78-0
 2016-5-24,104,114,2-0-0-0-0-0-0-0-0-0-0-0-10-0-2-0-18-6-2-0-0-2-0,0-0-0-0-0-0-0-0-0-0-0-0-6-8-0-0-14-0-0-0-0-4-0
 2016-5-25,66,76,0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0-0-4-4-0-42-0,0-0-0-0-0-0-0-0-2-0-2-0-0-0-0-0-0-0-0-8-0-54-0
 2016-5-26,60,64,4-0-0-0-0-0-2-0-0-0-6-0-24-0-0-0-0-0-0-0-22-2-0,4-0-0-0-0-0-0-0-0-0-4-0-26-0-0-0-0-0-0-0-26-4-0
 2016-5-27,130,106,6-0-0-0-0-0-0-14-0-0-2-0-0-4-0-0-2-0-0-0-0-0-0,6-0-0-0-0-0-0-0-0-0-0-0-0-2-2-0-0-0-0-0-4-0-0
 2016-5-28,206,178,0-0-0-0-0-0-0-0-0-0-0-2-0-0-16-50-0-0-4-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-28-32-0-0-4-0-0-0-0
 2016-5-29,150,204,10-0-0-0-0-0-0-0-0-0-4-6-32-4-4-14-0-0-10-16-0-0-0,14-0-0-0-0-0-0-0-0-0-8-0-52-0-12-20-0-0-10-2-0-0-0
 2016-5-30,4,0,0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
 2016-5-31,0,0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
 2016-6-1,18,26,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-8-2-8-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-12-0-12-0-0-0-0
 2016-6-2,206,358,26-0-0-0-0-0-0-2-0-2-66-0-54-0-4-16-28-0-0-0-0-0-0,26-0-0-0-0-0-0-0-0-4-28-0-238-0-8-16-24-0-0-0-0-0-0
 2016-6-3,162,252,0-0-0-0-0-0-0-0-10-0-4-0-0-0-22-20-42-56-4-0-0-4-0,0-0-0-0-0-0-0-2-18-0-4-2-0-2-48-28-36-98-8-0-0-6-0
 2016-6-4,92,128,12-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-24-0-6-2-0-0-0,16-0-0-0-0-0-0-0-0-0-0-0-0-0-0-22-20-0-4-0-0-0-0
 2016-6-5,0,6,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
 2016-6-6,16,8,0-0-0-0-0-0-0-0-0-0-0-0-2-2-0-0-0-0-0-0-4-0-0,0-0-0-0-0-0-0-0-0-0-0-0-6-0-2-0-0-0-0-0-0-0-0
 2016-6-7,12,2,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
 2016-6-8,52,60,0-0-0-0-0-0-0-0-0-0-0-0-0-4-6-36-4-0-2-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-52-4-0-0-0-0-0-0
 2016-6-9,4,10,0-0-2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-0-2-2-0
 2016-6-10,166,224,32-0-0-2-0-0-0-0-0-0-0-0-4-38-0-0-0-0-22-2-0-0-0,64-0-0-0-0-0-0-0-0-0-0-0-0-30-0-0-0-0-44-0-0-0-0
 2016-6-11,148,232,0-16-22-32-0-0-0-0-0-0-0-0-0-2-0-0-2-2-14-0-0-0-0,0-20-28-42-0-0-0-0-0-0-0-0-0-4-2-0-2-18-26-0-2-0-0
 2016-6-12,54,90,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-30-10-0-4-0-0-0-0,0-4-0-0-0-0-0-0-0-0-0-0-0-0-0-54-18-0-4-0-0-0-0
 2016-6-13,32,20,6-2-4-0-4-0-0-0-0-2-6-0-0-0-0-0-0-8-0-0-0-0-0,0-2-4-4-0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-0-0-0-0
 2016-6-14,36,72,0-2-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-18-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-46-0-4-0-0-0
 2016-6-15,10,4,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-8-0-0-0-0-0,0-2-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0
 2016-6-16,96,132,12-0-0-4-0-0-0-0-0-0-0-0-0-0-0-30-0-0-2-0-0-2-0,18-0-0-2-0-0-0-0-0-0-0-0-0-0-0-70-0-0-0-0-0-0-0
 2016-6-17,172,182,0-0-6-14-0-0-2-0-0-0-0-0-0-0-74-0-0-0-0-20-30-10-0,0-0-10-18-0-0-0-0-0-0-0-0-0-0-64-0-0-0-0-26-36-4-0
 2016-6-18,52,86,2-0-8-0-0-0-0-0-6-0-0-18-6-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-40-16-0-0-0-0-0-0-0-0-0-0
 2016-6-19,102,104,0-0-4-4-0-0-0-0-0-0-0-0-0-0-0-0-0-22-0-4-0-68-0,0-0-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-18-0-4-2-76-0
 2016-6-20,42,76,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
 2016-6-21,10,0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-4-2-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
 2016-6-22,2,0,0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
 2016-6-23,62,48,0-0-0-0-2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-44-16-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-2-0-0-24-18-0
 2016-6-24,250,252,88-30-0-0-0-0-0-0-0-0-0-0-14-2-4-0-0-0-6-4-12-58-0,76-30-0-0-0-0-0-0-0-0-0-0-10-2-2-0-0-0-0-10-4-62-0
 2016-6-25,242,218,0-78-16-16-8-0-0-0-0-0-4-0-0-0-30-4-6-66-0-0-0-4-0,0-74-18-10-0-0-0-0-0-0-0-0-0-0-30-0-4-72-0-0-0-10-0
 2016-6-26,232,190,0-32-56-52-0-2-0-0-0-0-0-0-0-60-0-2-0-0-0-0-0-0-0,0-38-36-40-0-0-0-0-0-0-0-0-0-46-0-0-0-0-0-0-0-0-0
 2016-6-27,516,516,56-40-52-128-32-0-0-0-0-0-0-0-0-10-146-22-0-0-0-22-0-4-0,60-46-36-136-40-0-0-0-0-0-0-0-0-14-128-30-0-0-0-18-2-0-0
 2016-6-28,216,296,0-140-30-0-0-0-0-0-0-0-0-2-0-2-30-0-0-0-2-8-0-2-0,0-220-50-0-0-0-0-0-0-0-0-0-0-0-26-0-0-0-0-0-0-0-0
 2016-6-29,86,84,4-2-32-0-0-0-0-0-0-0-0-0-0-0-0-8-0-40-0-0-0-0-0,0-0-32-0-0-0-0-0-0-0-0-0-0-0-0-4-0-40-0-4-0-0-0
 2016-6-30,46,90,0-0-0-0-0-0-0-0-0-2-0-0-0-0-12-0-0-30-2-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-16-2-0-70-2-0-0-0-0
 2016-7-1,72,90,0-2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-44-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-42-0-0-0
 2016-7-2,342,290,68-20-0-10-2-0-2-0-0-0-0-0-2-78-0-0-0-2-0-0-26-0-0,60-0-0-6-0-0-0-0-0-0-0-0-0-62-0-0-0-0-0-0-36-0-0
 2016-7-3,82,52,2-2-0-0-0-0-0-0-0-0-0-0-0-20-30-12-2-0-4-0-10-0-0,10-0-0-0-0-0-0-0-0-0-0-0-0-14-16-6-0-0-6-0-0-0-0
 2016-7-4,52,94,20-0-0-0-2-0-0-0-0-0-0-4-0-0-18-2-2-0-0-0-2-2-0,22-0-0-0-2-0-0-0-0-0-0-0-0-0-20-42-6-0-0-2-0-0-0
 2016-7-5,56,50,4-0-0-2-0-0-0-0-0-0-0-0-0-0-0-0-2-0-40-0-0-0-0,2-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-6-0-24-0-0-0-0
 2016-7-6,234,228,0-0-0-0-0-0-2-0-0-4-8-114-4-0-0-8-0-0-16-24-2-6-0,2-0-0-0-0-0-0-0-6-16-12-98-0-0-0-0-0-0-26-26-0-4-0
 2016-7-7,168,188,26-0-0-0-0-0-0-0-0-0-0-0-0-0-0-22-2-16-80-8-6-0-0,26-0-0-0-0-0-0-0-0-0-0-0-0-0-0-20-10-24-82-20-4-0-0
 2016-7-8,18,30,4-6-0-0-0-0-0-0-0-0-0-0-0-0-2-4-0-0-2-0-0-0-0,0-12-0-0-0-0-0-0-0-0-0-0-0-2-0-12-0-0-4-0-0-0-0
 2016-7-9,122,154,2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-18-50-2-0-28-4-6-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-12-42-0-6-42-18-0-0
 2016-7-10,38,46,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
 2016-7-11,104,116,0-0-0-0-0-0-0-0-0-0-0-0-12-0-0-2-0-0-2-0-88-0-0,0-0-0-0-0-0-0-0-0-0-0-0-20-0-0-0-0-0-0-2-90-0-0
 2016-7-12,142,126,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-68-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-50-0
 2016-7-13,52,54,0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-10-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-0-0-2-4-6-0-0
 2016-7-14,94,246,0-0-0-0-0-0-0-0-0-0-0-0-8-0-0-36-4-8-0-4-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-20-0-0-42-148-2-2-0-0-0-0
 2016-7-15,68,96,0-0-0-0-0-0-0-0-0-0-30-6-0-32-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-44-6-0-46-0-0-0-0-0-0-0-0-0
 2016-7-16,138,158,0-46-4-0-0-0-0-0-0-0-0-0-0-0-2-0-6-6-2-0-2-0-0,0-46-4-0-0-0-0-0-0-0-0-0-0-0-0-4-12-2-2-0-0-0-0
 2016-7-17,4,0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-2-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
 2016-7-18,678,872,0-0-0-0-0-0-0-0-2-0-74-170-40-32-74-68-66-22-4-24-80-20-0,0-0-0-0-0-0-0-0-0-0-114-164-54-62-86-88-66-60-0-54-90-28-0
 2016-7-19,178,196,0-0-0-0-0-0-0-0-0-0-6-54-16-52-0-0-0-0-14-8-26-0-0,0-0-0-0-0-0-0-0-0-0-2-38-12-84-0-0-0-0-14-10-32-4-0
 2016-7-20,84,92,0-0-0-0-2-0-0-18-0-22-0-0-0-0-0-0-0-0-0-18-24-0-0,0-0-0-0-0-0-0-16-0-36-0-0-0-0-0-0-0-0-4-24-12-0-0
 2016-7-21,196,234,0-0-0-0-0-0-0-0-0-78-26-0-12-0-0-0-0-0-0-54-8-0-0,0-0-0-0-0-0-0-0-0-82-22-0-28-0-0-0-0-0-0-74-4-2-0
 2016-7-22,92,104,0-0-0-0-0-0-0-0-0-0-4-0-0-0-6-0-6-0-2-4-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12-0-8-0-0-0-0
 2016-7-23,562,510,36-0-0-0-0-0-0-0-0-0-0-0-0-34-54-102-74-2-114-82-0-38-0,34-0-0-0-0-0-0-0-0-0-0-0-0-32-36-92-54-6-104-88-0-30-0
 2016-7-24,118,128,0-0-0-0-0-0-0-0-0-0-6-0-4-4-0-32-10-8-30-16-0-0-0,2-0-0-0-0-0-0-0-0-0-4-2-2-4-0-44-6-4-32-18-0-0-0
 2016-7-25,138,154,0-0-0-0-0-0-0-0-0-0-0-0-108-0-12-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-2-0-120-0-16-0-0-0-2-0-0-0-0
 2016-7-26,50,54,0-0-0-0-0-0-0-6-0-0-4-0-12-0-6-0-0-0-10-2-0-10-0,0-2-0-0-0-0-0-0-0-4-6-0-14-0-0-0-0-0-12-0-0-16-0
 2016-7-27,398,404,2-0-0-0-0-0-0-0-0-0-28-90-198-28-0-0-0-6-8-0-2-10-0,0-0-0-0-0-0-0-0-0-0-56-84-180-24-0-0-0-6-10-0-0-10-0
 2016-7-28,56,84,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-6-24-0-0,0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0-0-2-2-18-38-0-0
 2016-7-29,102,74,0-0-0-0-0-0-0-0-0-18-2-0-0-4-2-0-0-0-4-10-62-0-0,0-0-0-0-0-0-0-0-0-2-0-0-0-8-4-0-0-0-12-8-40-0-0
 2016-7-30,160,180,40-0-0-0-0-0-0-0-0-0-0-0-0-0-40-2-8-66-2-0-0-0-0,48-0-0-0-0-0-0-0-0-0-0-0-0-0-40-4-18-70-0-0-0-0-0
 2016-7-31,724,744,126-184-14-0-0-0-0-0-0-0-0-12-22-42-26-8-42-10-18-82-0-22-0,106-190-26-0-0-0-0-0-0-0-0-20-40-24-52-10-42-0-20-62-0-30-0
 2016-8-1,76,74,0-0-0-0-0-0-0-0-0-0-0-0-14-0-0-0-0-2-32-20-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-14-0-0-0-0-0-30-24-0-0-0
 2016-8-2,242,276,0-0-0-0-0-0-0-0-0-0-6-0-0-0-22-0-0-6-46-66-22-68-0,0-0-0-0-0-0-0-0-0-0-8-0-0-0-26-0-0-4-50-86-26-76-0
 2016-8-3,248,226,0-0-0-0-0-0-2-0-0-0-0-2-0-0-0-0-0-2-0-0-152-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-2-0-118-0-0
 2016-8-4,14,8,2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-8-0,0-0-0-0-0-0-0-2-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0
 2016-8-5,238,312,0-0-0-0-0-0-0-0-0-0-0-0-0-10-4-32-42-82-0-2-0-66-0,0-0-0-0-0-0-0-8-0-0-0-0-0-0-14-42-50-68-0-0-14-116-0
 2016-8-6,258,218,0-0-0-0-0-0-0-0-0-0-0-0-12-0-12-0-0-0-102-44-0-50-0,0-0-0-0-0-0-0-0-0-0-0-0-10-0-24-0-0-2-64-22-0-50-0
 2016-8-7,80,82,0-0-0-0-0-0-0-0-0-0-0-34-4-0-0-0-0-0-0-0-8-22-0,0-0-0-0-0-0-0-0-0-0-0-52-4-0-0-0-0-0-0-0-10-4-0
 2016-8-8,16,16,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
 2016-8-9,114,90,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-10-76-22-6-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-74-16-0-0-0
 2016-8-10,22,26,0-0-0-0-0-0-0-0-0-0-0-0-10-0-0-0-0-0-6-0-0-6-0,0-0-0-0-0-0-0-0-0-0-0-0-12-0-0-0-0-0-2-0-0-10-0
 2016-8-11,234,288,40-0-0-0-0-0-0-0-0-0-0-0-2-0-30-34-0-10-0-0-0-0-0,48-0-0-0-0-0-0-0-0-0-0-0-0-0-68-24-0-16-0-0-0-0-0
 2016-8-12,60,64,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12-2-0-24-2-16-2-0,0-0-0-0-0-0-0-0-0-4-0-0-0-4-0-0-0-0-28-4-24-0-0
 2016-8-13,34,48,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-20-0-0-0-0
 2016-8-14,14,12,0-0-0-0-0-0-0-0-0-0-0-8-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-8-0-0-0-0-0-0-0-0-0-0-0
 2016-8-15,22,42,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-8-0-0-4-0-0
 2016-8-16,22,18,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-10-6-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-8-8-0-0
 2016-8-17,170,222,0-0-0-2-0-0-0-0-0-0-0-2-6-36-0-0-0-0-72-0-0-52-0,0-0-0-0-0-0-0-0-0-0-0-2-8-64-0-0-0-6-86-0-0-56-0
 2016-8-18,66,64,0-0-0-0-0-0-0-0-0-0-0-0-8-10-0-2-0-0-0-0-10-2-0,0-0-0-0-0-0-0-0-0-0-0-0-2-14-0-0-0-0-0-0-8-0-0
 2016-8-19,30,54,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-24-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-10-44-0
 2016-8-20,8,8,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
 2016-8-21,0,0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
 2016-8-22,66,76,0-0-0-0-0-0-0-0-0-12-0-0-0-0-0-0-0-0-0-14-36-4-0,0-0-0-0-0-0-0-0-0-10-0-0-0-0-0-0-0-0-0-10-46-10-0
 2016-8-23,202,260,0-0-0-0-0-0-0-0-0-4-6-128-56-4-0-0-2-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-8-144-74-12-0-0-0-22-0-0-0-0-0
 2016-8-24,8,4,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
 2016-8-25,146,130,0-0-0-0-0-0-0-4-0-0-4-10-0-68-2-0-0-0-0-8-0-8-0,0-0-0-0-0-0-0-0-0-0-8-8-4-48-0-6-0-0-0-10-4-0-0
 2016-8-26,108,112,4-0-0-0-0-0-0-0-0-12-0-0-0-0-0-0-0-0-6-2-0-0-0,0-0-0-0-0-0-0-0-0-20-0-0-0-0-0-0-0-0-0-4-0-0-0
 2016-8-27,288,360,0-0-0-0-0-0-0-0-0-0-0-42-18-0-28-0-0-68-50-26-52-4-0,0-0-0-0-0-0-0-0-0-0-0-40-10-0-38-0-0-66-82-66-58-0-0
 2016-8-28,20,18,16-2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,12-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
 2016-8-29,6,6,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
 2016-8-30,104,130,0-0-0-0-0-0-0-0-0-0-6-2-0-0-32-0-0-30-2-14-0-16-0,0-0-0-0-0-0-0-0-0-0-2-0-0-0-34-2-0-40-6-14-4-28-0
 2016-8-31,74,86,10-0-0-0-0-0-0-0-2-2-0-0-0-0-2-0-26-2-0-0-0-0-0,14-0-0-0-0-0-0-0-0-0-0-2-0-0-6-0-26-6-0-0-0-0-0
 2016-9-1,66,68,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-30-34-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-46-22-0-0
 2016-9-2,38,40,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-20-0,0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0-0-0-0-0-2-28-0
 2016-9-3,44,52,42-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0,52-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
 2016-9-4,38,42,2-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0-0-0-0-22-0,0-0-0-0-0-0-0-0-0-4-0-2-0-0-0-0-0-0-0-0-0-16-0
 2016-9-5,144,174,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
 2016-9-6,12,14,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14-0-0
 2016-9-7,98,112,0-0-0-0-0-0-0-0-0-0-0-32-20-0-0-4-0-8-0-0-2-32-0,0-0-0-0-0-0-0-0-0-0-0-34-18-0-0-2-0-2-0-0-4-52-0
 2016-9-8,38,74,0-0-0-0-0-0-0-0-0-6-0-0-0-6-0-0-0-0-0-12-0-0-0,0-0-0-0-0-0-0-0-0-12-0-0-0-12-0-0-2-4-8-20-0-0-0
 2016-9-9,402,592,34-0-0-0-0-0-0-0-36-20-0-0-0-0-0-74-0-2-0-40-20-34-0,42-0-0-0-0-0-0-0-76-26-0-0-0-0-6-106-0-0-26-56-20-70-0
 2016-9-10,288,434,16-0-0-0-0-0-0-2-0-24-24-0-0-0-0-12-96-4-0-44-18-44-0,4-0-0-0-0-0-0-0-0-66-20-0-0-0-2-16-104-4-4-86-34-76-0
 2016-9-11,228,298,24-0-0-0-0-0-0-0-0-0-0-4-22-60-4-0-0-0-8-4-12-46-0,30-0-0-0-0-0-0-0-2-2-0-0-22-90-0-0-0-0-12-4-22-54-0
 2016-9-12,68,84,2-0-0-0-0-0-0-0-12-14-0-10-0-0-0-18-0-6-0-0-0-0-0,0-0-0-0-0-0-0-0-28-6-0-0-4-0-0-32-0-10-0-0-0-0-0
 2016-9-13,46,70,0-2-0-0-0-0-0-0-0-2-0-16-16-4-0-0-0-0-0-0-0-6-0,0-0-0-0-0-0-0-0-0-0-0-36-14-2-0-0-2-8-0-4-0-0-0
 2016-9-14,358,440,0-0-0-0-0-0-0-0-0-0-0-16-64-86-30-40-30-46-24-0-0-22-0,0-0-0-0-0-0-0-0-0-0-0-28-56-104-56-60-46-36-26-0-0-22-0
 2016-9-15,144,122,0-0-0-0-0-0-0-0-0-0-0-2-4-0-2-0-0-0-94-0-4-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-2-6-0-0-0-64-0-12-0-0
 2016-9-16,6,0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
 2016-9-17,48,74,0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-16-0-4-20-2-2-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-38-0-0-24-6-0-0
 2016-9-18,652,1012,0-0-0-0-0-0-0-0-2-0-130-14-0-86-70-22-86-34-66-36-72-14-0,0-0-0-0-0-0-0-0-0-0-174-20-0-150-140-52-124-68-70-24-122-40-0
 2016-9-19,240,322,0-0-0-0-0-0-0-0-0-10-6-8-10-6-0-0-0-0-20-108-68-0-0,0-0-0-0-0-0-0-0-0-22-6-18-30-4-0-0-2-0-40-132-58-6-0
 2016-9-20,144,154,0-0-0-0-0-0-0-0-0-18-0-6-0-0-6-0-42-30-24-0-16-0-0,0-0-0-0-0-0-0-0-0-18-0-0-0-0-2-0-48-14-48-0-24-0-0
 2016-9-21,248,310,0-0-0-0-0-0-0-0-0-0-0-0-0-140-46-26-0-0-0-0-10-26-0,0-0-0-0-0-0-0-0-0-0-0-0-0-126-96-40-0-0-0-0-20-28-0
 2016-9-22,154,124,0-0-0-0-0-0-0-0-0-0-0-6-8-62-0-0-0-0-0-66-4-4-0,0-0-0-0-0-0-0-0-0-0-0-0-4-44-0-0-0-0-0-70-0-0-0
 2016-9-23,2,8,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
