date,received,sent,allDayReceived,allDaySent
 2016-1-31,42,64,12-0-0-0-0-2-0-0-2-0-0-0-0-0-0-2-0-6-0-0-0-0-0,14-0-0-0-0-0-0-0-0-0-0-0-0-4-0-2-0-8-0-8-0-0-0
 2016-2-1,2,2,0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0
 2016-2-2,2,4,0-2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-2-0-0
 2016-2-3,50,48,0-0-0-0-0-0-0-0-0-0-0-0-0-0-16-0-32-2-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-16-0-30-2-0-0-0-0-0
 2016-2-4,160,140,50-0-0-0-0-0-0-0-4-0-0-2-0-0-0-0-0-8-4-0-82-10-0,50-0-0-0-0-0-0-0-0-2-2-0-0-2-0-0-0-8-12-2-60-2-0
 2016-2-5,14,12,0-0-0-0-0-0-6-0-0-0-0-0-0-6-0-0-0-0-2-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-4-8-0-0-0-0-0-0-0-0-0
 2016-2-6,44,46,0-0-0-0-0-0-0-0-0-0-0-0-0-44-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-4-42-0-0-0-0-0-0-0-0-0
 2016-2-7,24,24,14-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-2-0,12-2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-0-0-0
 2016-2-8,224,306,18-0-0-0-0-0-0-0-0-0-8-0-2-0-0-0-0-0-0-94-22-80-0,18-0-0-0-0-0-0-0-0-0-12-0-0-0-0-0-0-0-0-132-18-126-0
 2016-2-9,126,168,0-0-0-0-0-0-0-0-6-0-2-0-0-2-0-0-24-0-78-0-2-0-0,0-0-0-0-0-0-0-0-8-2-4-0-0-0-0-0-26-2-104-0-0-0-0
 2016-2-10,172,176,4-2-0-0-0-0-0-0-0-2-4-0-0-4-0-0-42-0-42-30-26-0-0,4-0-0-0-0-0-0-0-4-6-2-0-0-0-0-0-24-0-50-46-18-2-0
 2016-2-11,224,284,2-0-0-0-0-0-0-0-0-0-14-0-0-0-0-18-0-0-0-16-72-50-0,0-0-0-0-0-0-0-0-0-0-12-0-0-0-0-22-0-0-0-20-102-50-0
 2016-2-12,136,186,0-0-0-0-0-0-0-0-0-0-0-0-0-0-16-0-0-22-0-2-0-8-0,0-0-0-0-0-0-0-0-0-0-0-0-4-0-18-2-0-10-0-0-0-14-0
 2016-2-13,206,256,0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-2-6-0-4-22-8-0,0-0-0-0-0-0-0-0-0-0-8-0-8-4-0-6-4-0-4-0-68-14-0
 2016-2-14,154,208,0-0-0-0-0-0-0-0-0-0-8-14-0-0-0-6-6-2-0-2-0-10-0,0-0-0-0-0-0-0-0-0-0-8-6-0-0-0-0-12-8-0-0-0-8-0
 2016-2-15,52,42,0-0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0-12-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-8-0-0-0-0
 2016-2-16,234,346,92-0-0-0-0-0-0-0-0-0-0-0-0-34-78-10-8-0-0-4-6-2-0,36-0-0-0-0-0-0-0-0-0-0-0-0-40-94-20-4-0-0-4-94-54-0
 2016-2-17,142,254,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-80-34-0-12-0-10-0,0-0-0-0-0-0-2-0-0-0-0-0-0-0-0-4-126-66-0-16-2-24-0
 2016-2-18,232,256,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-16-2-88-16-104-0,4-0-0-0-0-0-0-0-0-0-0-0-2-2-2-40-8-8-4-36-30-104-0
 2016-2-19,34,10,0-0-0-0-0-8-0-6-0-0-6-0-0-4-0-0-0-0-2-0-0-0-0,8-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0-0-0-0-0-0-0
